time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-04T19:51:44.208Z,38.7342,142.3235,37.24,4.6,mwr,,132,1.484,0.78,us,us70003gqx,2019-07-25T18:54:17.040Z,"64 km SE of ?funato, Japan",earthquake,6.5,5.9,0.057,30,reviewed,us,us
2019-04-01T12:17:31.709Z,38.5676,142.1657,48.8,4.2,mb,,209,1.288,1.03,us,us2000k8hx,2019-06-08T20:51:31.040Z,"68 km SE of ?funato, Japan",earthquake,10.3,15.8,0.216,6,reviewed,us,us
2019-03-12T18:31:56.702Z,38.2431,142.3379,36.45,4.3,mb,,121,1.278,0.92,us,us1000jjt1,2019-06-01T21:24:26.040Z,"92 km ESE of Ishinomaki, Japan",earthquake,6.7,3,0.142,17,reviewed,us,us
2019-02-27T00:55:52.290Z,38.2916,142.0529,35,4.9,mb,,104,1.082,0.93,us,us2000jpc3,2019-05-14T18:36:32.040Z,"67 km ESE of Ishinomaki, Japan",earthquake,6.5,1.9,0.057,96,reviewed,us,us
2019-02-05T06:57:52.140Z,38.3356,141.9783,51.14,4.4,mb,,141,1.047,0.87,us,us2000jdig,2019-04-25T15:31:41.040Z,"59 km E of Ishinomaki, Japan",earthquake,4.7,11.1,0.123,19,reviewed,us,us
2018-12-26T16:48:53.620Z,38.7422,142.0967,42.33,4.9,mb,,139,1.348,0.85,us,us2000ixqu,2019-03-05T17:46:34.040Z,"49 km SE of ?funato, Japan",earthquake,7,4.9,0.058,94,reviewed,us,us
2018-12-14T08:04:33.620Z,37.8962,142.5482,28.45,4.8,mww,,97,1.391,0.71,us,us2000itie,2019-02-16T22:29:08.040Z,"123 km ESE of Ishinomaki, Japan",earthquake,7.1,5.1,0.098,10,reviewed,us,us
2018-11-08T21:51:40.180Z,38.6564,141.9828,39.52,4.3,mwr,,88,1.224,0.56,us,us1000hpfp,2019-01-21T16:42:55.040Z,"51 km SSE of ?funato, Japan",earthquake,7,6.3,0.071,19,reviewed,us,us
2018-11-04T18:02:41.560Z,38.7402,141.9315,57.23,4.6,mb,,109,1.25,0.88,us,us2000i6rv,2019-01-21T14:29:47.040Z,"41 km SSE of ?funato, Japan",earthquake,7.9,8.1,0.095,33,reviewed,us,us
2018-10-23T11:06:20.190Z,38.2873,141.9099,34.95,4.6,mwr,,115,0.977,0.82,us,us1000hg2q,2022-08-08T09:24:45.682Z,"55 km ESE of Ishinomaki, Japan",earthquake,5.8,3.8,0.073,18,reviewed,us,us
2018-10-18T12:52:23.790Z,38.4427,142.1305,47.47,4.5,mb,,176,1.202,0.9,us,us1000hg41,2018-12-21T22:27:09.040Z,"72 km E of Ishinomaki, Japan",earthquake,8.8,10.2,0.18,9,reviewed,us,us
2018-09-25T03:31:01.350Z,38.7343,142.2432,35,4.4,mwr,,135,1.433,0.88,us,us2000hjkw,2018-12-01T16:45:08.040Z,"59 km SE of ?funato, Japan",earthquake,7.3,2,0.073,18,reviewed,us,us
2018-08-16T10:44:11.150Z,38.7083,141.9093,56.16,4.3,mb,,155,1.215,0.68,us,us1000genn,2018-10-27T16:22:08.040Z,"43 km SSE of ?funato, Japan",earthquake,8.2,5.4,0.266,4,reviewed,us,us
2018-07-12T08:39:23.390Z,38.2054,142.2318,35.18,4.7,mwr,,116,1.187,0.85,us,us2000g2u7,2018-10-02T16:40:35.040Z,"84 km ESE of Ishinomaki, Japan",earthquake,6.8,5.8,0.06,27,reviewed,us,us
2018-06-17T15:43:42.630Z,38.7988,142.1016,39.68,4.5,mb,,156,1.387,0.55,us,us1000etyq,2018-09-07T17:47:08.040Z,"45 km SE of ?funato, Japan",earthquake,9.1,8.6,0.136,16,reviewed,us,us
2018-06-13T18:34:40.990Z,38.5686,142.1708,41.8,4.2,mb,,151,1.292,1.05,us,us1000evkz,2018-09-07T17:47:09.040Z,"68 km SE of ?funato, Japan",earthquake,7,9.8,0.152,12,reviewed,us,us
2018-05-14T07:22:54.790Z,38.3496,142.1181,35,4.4,mb,,140,1.152,0.5,us,us1000e7xy,2018-08-15T19:46:49.040Z,"71 km E of Ishinomaki, Japan",earthquake,7.2,2,0.162,12,reviewed,us,us
